indice;TempsDijakstra;TempsBellmonford
5;29;6
6;3;0
7;10;1
8;20;0
9;22;0
10;13;0
11;5;0
12;4;0
13;3;0
14;9;0
15;4;0
16;11;0
17;18;0
18;13;0
19;11;0
20;12;0
21;8;0
22;10;0
23;15;2
24;25;0
25;67;0
26;27;0
27;10;0
28;5;0
29;6;1
30;36;25
31;18;0
32;8;0
33;8;0
34;11;0
35;15;0
36;50;0
37;12;0
38;6;0
39;10;0
40;8;0
41;13;0
42;8;0
43;8;0
44;12;0
45;14;0
46;9;0
47;8;0
48;10;0
49;37;0
50;11;0
51;15;0
52;13;0
53;14;0
54;15;0
55;27;0
56;27;1
57;44;0
58;15;0
59;17;0
60;15;0
61;52;2
62;27;0
63;23;0
64;15;0
65;18;0
66;16;0
67;14;0
68;20;1
69;15;0
70;20;0
71;17;0
72;16;0
73;23;0
74;24;0
75;17;0
76;18;0
77;18;0
78;38;1
79;31;0
80;79;1
81;65;0
82;53;0
83;37;0
84;35;0
85;70;0
86;174;0
87;82;2
88;68;0
89;108;0
90;45;0
91;28;0
92;26;0
93;25;0
94;28;0
95;28;0
96;27;0
97;30;0
98;38;0
99;41;0
100;30;1
101;65;1
102;40;2
103;37;0
104;39;1
105;36;1
106;37;1
107;37;0
108;40;0
109;35;0
110;38;0
111;44;1
112;38;6
113;60;1
114;63;1
115;37;1
116;49;0
117;38;1
118;42;1
119;43;1
120;65;1
121;45;1
122;50;1
123;47;1
124;57;1
125;65;1
126;49;1
127;51;1
128;57;0
129;47;1
130;53;1
131;61;1
132;52;1
133;53;1
134;52;1
135;73;1
136;61;1
137;58;1
138;88;1
139;60;1
140;74;1
141;75;1
142;65;1
143;67;1
144;66;1
145;60;1
146;74;3
147;79;1
148;73;1
149;70;1
150;73;1
151;76;1
152;73;0
153;74;1
154;84;1
155;73;1
156;89;1
157;86;1
158;101;1
159;82;1
160;81;1
161;84;1
162;81;2
163;94;1
164;83;1
165;87;1
166;88;2
167;102;2
168;85;1
169;106;1
170;87;2
171;88;1
172;89;2
173;94;2
174;90;2
175;102;2
176;115;2
177;130;1
178;101;1
179;88;1
180;85;1
181;95;1
182;104;1
183;95;1
184;94;1
185;107;1
186;100;1
187;107;2
188;139;2
189;192;2
190;117;2
191;97;1
192;149;2
193;114;1
194;108;1
195;110;1
196;109;2
197;113;2
198;108;1
199;108;1
200;112;2
201;181;2
202;127;1
203;107;2
204;122;1
205;122;1
206;137;1
207;113;1
208;126;2
209;122;2
210;127;2
211;136;2
212;134;1
213;127;3
214;126;1
215;126;1
216;165;1
217;141;1
218;133;2
219;127;3
220;167;1
221;116;2
222;142;2
223;148;1
224;132;2
225;136;1
226;133;1
227;163;3
228;183;1
229;136;1
230;150;3
231;168;3
232;178;1
233;153;3
234;153;3
235;159;2
236;160;2
237;169;3
238;159;1
239;154;3
240;164;3
241;184;1
242;184;1
243;160;1
244;153;2
245;147;2
246;171;2
247;156;3
248;159;2
249;173;2
250;166;4
251;226;2
252;178;2
253;181;2
254;164;2
255;162;3
256;182;2
257;192;2
258;176;2
259;194;5
260;207;2
261;217;2
262;182;2
263;190;3
264;196;4
265;216;2
266;185;2
267;185;2
268;204;2
269;257;4
270;231;4
271;257;2
272;206;2
273;219;4
274;202;2
275;201;2
276;198;2
277;229;5
278;211;4
279;197;2
280;232;2
281;212;4
282;226;3
283;231;2
284;250;4
285;217;4
286;285;5
287;266;2
288;242;2
289;238;2
290;260;5
291;257;2
292;259;5
293;263;2
294;276;2
295;284;3
296;289;3
297;290;6
298;265;5
299;291;3
300;280;5
301;275;3
302;291;2
303;309;5
304;295;3
305;273;3
306;303;5
307;292;2
308;275;3
309;329;5
310;323;3
311;305;3
312;316;2
313;323;3
314;315;3
315;356;3
316;306;3
317;354;3
318;340;3
319;341;5
320;349;3
321;327;3
322;316;3
323;355;3
324;345;6
325;384;3
326;366;3
327;366;4
328;343;3
329;359;3
330;380;6
331;375;4
332;363;5
333;354;5
334;375;3
335;389;6
336;376;3
337;409;3
338;403;3
339;398;6
340;385;6
341;413;3
342;395;3
343;403;7
344;424;3
345;407;3
346;410;3
347;414;6
348;430;4
349;407;7
350;426;7
351;433;7
352;411;6
353;429;7
354;451;5
355;457;7
356;449;6
357;459;4
358;458;3
359;447;7
360;493;4
361;476;4
362;472;7
363;480;7
364;485;4
365;470;5
366;507;4
367;494;7
368;486;4
369;500;6
370;507;5
371;522;4
372;535;5
373;572;5
374;572;5
375;588;4
376;575;6
377;540;4
378;559;4
379;510;5
380;589;7
381;558;8
382;526;8
383;554;6
384;545;8
385;537;7
386;573;5
387;588;5
388;601;8
389;580;9
390;576;8
391;606;9
392;599;5
393;618;5
394;597;5
395;608;8
396;596;9
397;651;6
398;619;6
399;638;5
400;630;14
401;618;6
402;642;9
403;656;5
404;633;13
405;650;7
406;659;9
407;660;8
408;685;5
409;635;6
410;687;5
411;636;8
412;644;10
413;651;5
414;678;8
415;880;12
416;900;11
417;965;13
418;854;8
419;761;10
420;817;10
421;817;11
422;779;6
423;740;11
424;928;11
425;811;11
426;745;7
427;708;6
428;711;7
429;712;8
430;741;11
431;712;8
432;731;6
433;750;7
434;810;6
435;741;10
436;724;6
437;743;8
438;707;6
439;766;10
440;754;11
441;748;11
442;738;6
443;750;6
444;766;13
445;811;10
446;821;11
447;858;8
448;822;6
449;829;10
450;813;12
451;811;9
452;853;6
453;939;6
454;799;9
455;767;6
456;788;6
457;789;7
458;798;12
459;865;8
460;862;7
461;816;6
462;813;7
463;842;12
464;860;7
465;842;7
466;854;7
467;864;7
468;877;7
469;835;7
470;902;13
471;858;10
472;889;8
473;849;12
474;923;7
475;915;11
476;928;7
477;894;11
478;925;7
479;936;13
480;959;8
481;977;8
482;877;8
483;939;7
484;953;7
485;922;8
486;929;13
487;967;7
488;971;18
489;1007;8
490;948;10
491;964;9
492;977;10
493;997;15
494;992;9
495;980;9
496;1023;7
497;1000;8
498;994;11
499;985;9
500;1063;11
501;1027;13
502;1017;11
503;1050;8
504;1045;8
505;1071;8
506;1024;8
507;1047;8
508;1115;8
509;1047;14
510;1014;13
511;1077;8
512;1079;14
513;1051;9
514;1055;8
515;1087;14
516;1095;8
517;1112;9
518;1098;8
519;1130;14
520;1148;16
521;1149;9
522;1119;10
523;1092;9
524;1182;11
525;1157;9
526;1165;16
527;1136;17
528;1166;9
529;1168;9
530;1200;9
531;1183;11
532;1192;10
533;1181;9
534;1172;9
535;1208;16
536;1148;16
537;1213;15
538;1180;11
539;1235;13
540;1181;10
541;1224;12
542;1248;13
543;1242;16
544;1263;10
545;1234;10
546;1271;18
547;1273;13
548;1303;11
549;1286;14
550;1288;13
551;1309;12
552;1331;16
553;1329;14
554;1275;18
555;1317;18
556;1323;18
557;1360;12
558;1297;10
559;1345;11
560;1367;19
561;1390;15
562;1354;25
563;1363;10
564;1402;17
565;1355;11
566;1356;14
567;1354;19
568;1399;11
569;1404;20
570;1451;18
571;1469;20
572;1413;11
573;1414;17
574;1496;15
575;1421;19
576;1430;10
577;1429;13
578;1465;16
579;1441;11
580;1441;13
581;1487;14
582;1429;24
583;1521;11
584;1522;11
585;1553;15
586;1484;11
587;1505;11
588;1504;13
589;1525;16
590;1482;13
591;1600;13
592;1547;12
593;1550;20
594;1565;12
595;1592;12
596;1587;12
597;1592;11
598;1562;14
599;1590;12
600;1584;12
601;1574;12
602;1621;12
603;1597;11
604;1555;12
605;1637;16
606;1665;22
607;1626;13
608;1712;18
609;1721;12
610;1737;12
611;1725;21
612;1786;14
613;1754;25
614;1689;14
615;1669;12
616;1675;16
617;1761;22
618;1699;13
619;1686;14
620;1730;15
621;1726;15
622;1977;16
623;1801;14
624;1799;13
625;1841;13
626;1806;13
627;1758;13
628;1822;13
629;1781;14
630;1791;12
631;1810;23
632;1842;13
633;1850;21
634;1953;21
635;1929;13
636;1873;22
637;1815;18
638;1809;14
639;1870;13
640;1902;14
641;1850;24
642;1890;18
643;1954;19
644;1823;13
645;1939;13
646;1959;13
647;1917;13
648;1973;16
649;1933;14
650;1978;21
651;1997;21
652;1994;15
653;1939;13
654;1985;14
655;2054;22
656;1991;21
657;1971;14
658;2024;15
659;1990;18
660;2046;17
661;2046;15
662;2030;17
663;2054;19
664;2021;14
665;2083;22
666;2107;23
667;2093;15
668;2079;18
669;2076;14
670;2123;17
671;2153;22
672;2175;19
673;2189;16
674;2181;24
675;2160;19
676;2121;22
677;2144;16
678;2120;15
679;2258;18
680;2211;24
681;2182;27
682;2206;23
683;2244;23
684;2282;25
685;2186;20
686;2267;28
687;2235;21
688;2238;21
689;2281;16
690;2333;25
691;2237;15
692;2248;20
693;2322;30
694;2284;20
695;2290;16
696;2286;27
697;2397;20
698;2393;31
699;2361;18
700;2401;23
701;2492;16
702;2380;19
703;2391;16
704;2452;16
705;2442;16
706;2413;19
707;2402;17
708;2413;18
709;2468;22
710;2423;16
711;2421;24
712;2432;17
713;2512;16
714;2427;23
715;2470;17
716;2466;16
717;2436;17
718;2543;25
719;2581;23
720;2468;25
721;2580;36
